scoot_name,description,time,congestion_percentage,current_flow,average_speed,link_travel_time,start_lat,start_long,end_lat,end_long
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:07:15Z,0,42,45,39,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:08:20Z,0,42,45,39,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:09:16Z,0,42,45,39,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:10:19Z,0,42,45,39,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:11:17Z,0,42,45,39,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:12:17Z,0,32,32,36,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:13:16Z,0,32,32,36,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:14:16Z,0,32,32,36,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:15:14Z,0,32,32,36,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:16:15Z,0,32,32,36,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:17:14Z,0,32,32,36,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:18:17Z,0,32,32,36,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:19:16Z,0,51,30,58,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:20:14Z,0,51,30,58,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:21:14Z,0,51,30,58,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:22:16Z,0,51,30,58,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:23:15Z,0,51,30,58,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:24:16Z,0,51,30,58,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:25:15Z,0,51,30,58,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:26:15Z,0,51,30,58,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:27:15Z,0,51,30,58,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:28:20Z,0,40,37,50,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:29:14Z,0,40,37,50,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:30:15Z,0,40,37,50,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
